myadd píng 瓶
3447 zhòu 㑇
344C kuāng 㑌
3469 luó 㑩
3473 zhòu 㑳
3493 tà 㒓
34E6 bāi 㓦
3509 zhǔ 㔉
351A jié 㔚
3551 chú 㕑
355C shǐ 㕜
3560 shuāng 㕠
3576 ň,ňg 㕶
358A xún 㖊
359E wāi 㖞
35C4 kū 㗄
35CF wāi 㗏
35D1 bai 㗑
3604 lēng 㘄
3606 tǎi 㘆
360E hǎn 㘎
3617 qū 㘗
3625 yóu 㘥
362D ào 㘭
3631 tān 㘱
3635 bù 㘵
3658 yāo 㙘
365F lǎng 㙟
3666 xié 㙦
3681 qiào 㚁
36A2 nú 㚢
36BB jī 㚻
36C3 jié 㛃
3743 miǎn 㝃
3761 zuì 㝡
377F bǒ 㝿
378E bǎ 㞎
3797 qiú 㞗
3798 dū 㞘
379E sóng 㞞
37C2 mǔ 㟂
37D6 lòng 㟖
37E4 lù 㟤
37F7 da 㟷
3804 xí 㠄
382F yǐ 㠯
383E yuān 㠾
3851 qiāo 㡑
3853 kūn 㡓
3860 zhèng 㡠
3861 chú 㡡
3867 zhèng 㡧
3905 ài 㤅
3918 zhòu 㤘
3925 hài 㤥
394F tiǎn 㥏
3966 qiè 㥦
396E zhòu 㥮
3975 hùn 㥵
39C0 jí 㧀
39CF gāng 㧏
39D0 sǒng 㧐
39D1 huī 㧑
39DF kuǎi 㧟
3A04 zhōu 㨄
3A17 jié 㨗
3A18 xǐng 㨘
3A2A huàng 㨪
3A4B xiāo 㩋
3A50 dèn 㩐
3A59 sāi 㩙
3A5F zhài 㩟
3A73 sǒng 㩳
3A8D bó 㪍
3ABA jū 㪺
3AF0 làng 㫰
3B09 nuǎn 㬉
3B0A huàn 㬊
3B0E xiǎn 㬎
3B1F fēn 㬟
3B24 qī 㬤
3B4E gāng 㭎
3BA3 gài 㮣
3BBE lǎng 㮾
3BED lǔ 㯭
3BF3 qíng 㯳
3C0D lóng 㰍
3C43 yǐn 㱃
3C84 jué 㲄
3C93 róng 㲓
3CB2 dié 㲲
3CC2 yán,yàn 㳂
3CC7 fù 㳇
3CE0 tà 㳠
3D29 yōng 㴩
3D50 jué 㵐
3D72 wǔ 㵲
3D81 guó 㶁
3D89 xī 㶉
3D91 liàn 㶑
3D9F lěi 㶟
3DDF tuì 㷟
3E4E léi 㹎
3E62 jiā 㹢
3E6D yì 㹭
3E80 hū 㺀
3E84 yǔ 㺄
3E85 hóu 㺅
3EA2 huò 㺢
3EEB bì 㻫
3F08 luó 㼈
3F41 lì 㽁
3F4F gàn 㽏
3F58 gǎng 㽘
3FB9 chái 㾹
4007 gǔ 䀇
4009 qiáo 䀉
400C xì 䀌
4026 gǔ 䀦
4056 lōu 䁖
40AB hāng 䂫
40C5 dī 䃅
40C9 mín 䃉
40CE zhà 䃎
40D8 kēng 䃘
40E0 xuàn 䃠
40F0 cā 䃰
410D zhà 䄍
413B táo 䄻
415F cǎn 䅟
41ED lǎo 䇭
41F2 cè,jiā 䇲
41FD zhé 䇽
420E yè 䈎
426C fèi 䉬
4272 mí 䉲
4275 zhuàn,zuǎn 䉵
42AA lì 䊪
42CE zhàn 䋎
4308 tā 䌈
4325 yǐn 䌥
4337 chōu,chóu 䌷
4339 jiǒng 䌹
4349 zhǎi 䍉
4361 lù 䍡
43B1 bà 䎱
43DD zhuān 䏝
43FF qǐ 䏿
441B dā 䐛
4472 zhào 䑲
447D tà 䑽
44A3 rǎn 䒣
44B7 guā 䒷
44BF liáo 䒿
44D6 qióng 䓖
44E8 yīng 䓨
451B qǐng 䔛
456D qián 䕭
4577 mí 䕷
458F chǔ,chù 䖏
45AE xiǎng 䖮
45B3 zhà 䖳
45D6 dì 䗖
45DB xiū 䗛
45EA zhè 䗪
45FB jié 䗻
460C nì 䘌
4615 háng 䘕
462E sāng,sàng 䘮
464C kuì 䙌
473A chǎi 䜺
474B zòng 䝋
475F yà 䝟
478D qíng 䞍
4793 chēng 䞓
47E1 zhī 䟡
4800 tāng 䠀
480A fèi 䠊
4831 zhú 䠱
48BA chū 䢺
490C qiāng 䤌
4928 pì 䤨
493C xiàn 䤼
4947 shàn 䥇
4955 piě 䥕
495B jiē 䥛
497D pō 䥽
4983 zhuō 䦃
4986 jué 䦆
49B6 zhèng 䦶
49B7 chuài 䦷
49E1 yōng 䧡
4A26 pāng 䨦
4A44 miǎn,tiǎn 䩄
4A6C běng 䩬
4A7A wēng 䩺
4A8D lán 䪍
4AC8 chěn 䫈
4ACF qī 䫏
4B54 duī 䭔
4BC4 guā 䯄
4BE7 qǐng 䯧
4BFC dí 䯼
4C00 wǒ 䰀
4C16 zuǎn 䰖
4C1B lì 䰛
4C57 cān 䱗
4C5A lù 䱚
4C5B huò 䱛
4C68 là 䱨
4C75 wēng 䱵
4C77 yú 䱷
4C7B huá 䱻
4C97 xián 䲗
4C9F yìn 䲟
4CA0 chūn 䲠
4CA2 téng 䲢
4CCD gōng 䳍
4CD8 é 䳘
4D13 shī 䴓
4D14 jiāo 䴔
4D15 liè 䴕
4D16 jīng 䴖
4D17 jú 䴗
4D19 pì 䴙
4D1A gǎng 䴚
4D25 jiā 䴥
4D38 fū 䴸
4D5A tǎo 䵚
4D8A nǜ 䶊
4D95 bà 䶕
4D97 kè,qiā 䶗
4DA7 yǎo 䶧
4DAE yǎn 䶮
4E00 yī,yí,yì 一
4E01 dīng,zhēng 丁
4E03 qī,qí 七
4E07 mò,wàn 万
4E08 zhàng 丈
4E09 sān 三
4E0A shǎng,shàng 上
4E0B xià 下
4E0D bú,bù 不
4E0E yú,yǔ,yù 与
4E0F miǎn 丏
4E10 gài 丐
4E11 chǒu 丑
4E13 zhuān 专
4E14 jū,qiě 且
4E15 pī 丕
4E16 shì 世
4E18 qiū 丘
4E19 bǐng 丙
4E1A yè 业
4E1B cóng 丛
4E1C dōng 东
4E1D sī 丝
4E1E chéng 丞
4E1F diū 丟
4E22 diū 丢
4E24 liǎng 两
4E25 yán 严
4E26 bìng 並
4E27 sāng,sàng 丧
4E2A gè,gě 个
4E2B yā 丫
4E2D zhōng,zhòng 中
4E30 fēng 丰
4E31 guàn 丱
4E32 chuàn 串
4E34 lín 临
4E38 wán 丸
4E39 dān 丹
4E3A wéi,wèi 为
4E3B zhǔ 主
4E3D lí,lì 丽
4E3E jǔ 举
4E42 yì 乂
4E43 nǎi 乃
4E45 jiǔ 久
4E47 tuō 乇
4E48 ma,me,yāo 么
4E49 yì 义
4E4B zhī 之
4E4C wū,wù 乌
4E4D zhà 乍
4E4E hū 乎
4E4F fá 乏
4E50 lè,yuè 乐
4E52 pīng 乒
4E53 pāng 乓
4E54 qiáo 乔
4E56 guāi 乖
4E58 chéng,shèng 乘
4E59 yǐ 乙
4E5C miē,niè 乜
4E5D jiǔ 九
4E5E qǐ 乞
4E5F yě 也
4E60 xí 习
4E61 xiāng 乡
4E66 shū 书
4E69 jī 乩
4E70 mǎi 买
4E71 luàn 乱
4E73 rǔ 乳
4E78 nǎ 乸
4E7E gān,qián 乾
4E82 luàn 亂
4E86 le,liǎo,liào 了
4E88 yú,yǔ 予
4E89 zhēng 争
4E8B shì 事
4E8C èr 二
4E8D chù 亍
4E8E yú 于
4E8F kuī 亏
4E91 yún 云
4E92 hù 互
4E93 qí 亓
4E94 wǔ 五
4E95 jǐng 井
4E98 gèn 亘
4E99 gèn 亙
4E9A yà 亚
4E9B xiē 些
4E9E yà 亞
4E9F jí,qì 亟
4EA1 wáng 亡
4EA2 kàng 亢
4EA4 jiāo 交
4EA5 hài 亥
4EA6 yì 亦
4EA7 chǎn 产
4EA8 hēng 亨
4EA9 mǔ 亩
4EAB xiǎng 享
4EAC jīng 京
4EAD tíng 亭
4EAE liàng 亮
4EB1 yè 亱
4EB2 qīn,qìng 亲
4EB3 bó 亳
4EB5 xiè 亵
4EB6 dǎn,dàn 亶
4EB7 lián 亷
4EB8 duǒ 亸
4EB9 mén,wěi 亹
4EBA rén 人
4EBE wáng 亾
4EBF yì 亿
4EC0 shén,shí 什
4EC1 rén 仁
4EC2 lè 仂
4EC3 dīng 仃
4EC4 zè 仄
4EC5 jǐn,jìn 仅
4EC6 pū,pú 仆
4EC7 chóu,qiú 仇
4EC9 zhǎng 仉
4ECA jīn 今
4ECB jiè 介
4ECD réng 仍
4ECE cōng,cóng 从
4ED1 lún 仑
4ED3 cāng 仓
4ED4 zǎi,zī,zǐ 仔
4ED5 shì 仕
4ED6 tā 他
4ED7 zhàng 仗
4ED8 fù 付
4ED9 xiān 仙
4EDB tuō 仛
4EDD tóng 仝
4EDE rèn 仞
4EDF qiān 仟
4EE1 gē,yì 仡
4EE3 dài 代
4EE4 líng,lǐng,lìng 令
4EE5 yǐ 以
4EE8 sā 仨
4EEA yí 仪
4EEB mù 仫
4EEC men 们
4EF0 yǎng 仰
4EF2 zhòng 仲
4EF3 pǐ 仳
4EF5 wǔ 仵
4EF6 jiàn 件
4EF7 jià,jiè,jie 价
4EFB rén,rèn 任
4EFD fèn 份
