博库  bo2 ku4   
干达后得出的结论  gan4 da2 hou4 de2 chu1 de5 jie2 lun4   
得出的结论  de2 chu1 de5 jie2 lun4   
之前的估计  zhi1 qian2 de5 gu1 ji4   
前的估计  qian2 de5 gu1 ji4   
一类激素  yi1 lei4 ji1 su4   
的能力  de5 neng2 li4   
项空白  xiang4 kong4 bai2   
的建筑  de5 jian4 zhu4   
存在黑洞的证据  cun2 zai4 hei1 dong4 de5 zheng4 ju4   
体吸引过去  ti3 xi1 yin3 guo4 qu4   
有时则不会  you3 shi2 ze2 bu2 hui4   
作铺垫  zuo4 pu1 dian4   
能力等  neng2 li4 deng3   
人三个阶段的理论  ren2 san1 ge4 jie1 duan4 de5 li3 lun4   
的转化和跃变  de5 zhuan3 hua4 he2 yue4 bian4   
不成准确的正比  bu4 cheng2 zhun3 que4 de5 zheng4 bi3   
吖吖  a1 a1   
吖啶  a1 ding4   
阿阿  a1 a1   
阿八  a1 ba1   
阿傍  a1 bang4   
阿谤  a1 bang4   
阿保  a1 bao3   
阿保之功  a1 bao3 zhi1 gong1   
阿保之劳  a1 bao3 zhi1 lao2   
阿本郎  a1 ben3 lang2   
阿鼻  a1 bi2   
阿鼻鬼  a1 bi2 gui3   
阿鼻叫唤  a1 bi2 jiao4 huan4   
阿鼻狱  a1 bi2 yu4   
阿比  a1 bi3   
阿比让  a1 bi3 rang4   
阿辟  a1 pi4   
阿避  a1 bi4   
阿柄  a1 bing3   
阿炳  a1 bing3   
阿步干  a1 bu4 gan4   
阿茶  a1 cha2   
阿谄  a1 chan3   
阿叱  a1 chi4   
阿閦  a1 chu4   
阿从  a1 cong2   
阿达  a1 da2   
阿大  a1 da4   
阿呆  a1 dai1   
阿党  a1 dang3   
阿党比周  a1 dang3 bi3 zhou1   
阿党相为  a1 dang3 xiang1 wei2   
阿的  a1 de5   
阿的平  a1 de5 ping2   
阿等  a1 deng3   
阿弟  a1 di4   
阿殿  a1 dian4   
阿阇  a1 she2   
阿阇梨  a1 she2 li2   
阿阇黎  a1 she2 li2   
阿堵  a1 du3   
阿堵物  a1 du3 wu4   
阿睹  a1 du3   
阿段  a1 duan4   
阿堆  a1 dui1   
阿对  a1 dui4   
阿对泉  a1 dui4 quan2   
阿多  a1 duo1   
阿亸回  a1 duo3 hui2   
阿尔巴尼亚人  a1 er3 ba1 ni2 ya4 ren2   
阿尔法射线  a1 er3 fa3 she4 xian4   
阿尔汗布拉宫  a1 er3 han4 bu4 la1 gong1   
阿尔金山脉  a1 er3 jin1 shan1 mai4   
阿尔诺芬尼夫妇像  a1 er3 nuo4 fen1 ni2 fu1 fu4 xiang4   
阿尔山温泉  a1 er3 shan1 wen1 quan2   
阿尔泰山脉  a1 er3 tai4 shan1 mai4   
阿尔泰语系  a1 er3 tai4 yu3 xi4   
阿耳忒弥斯  a1 er3 tui1 mi2 si1   
阿法  a1 fa3   
阿房  a1 fang2   
阿房殿  a1 fang2 dian4   
阿房宫  a1 fang2 gong1   
阿房宫赋  a1 fang2 gong1 fu4   
阿非利坎人  a1 fei1 li4 kan3 ren2   
阿忿  a1 fen4   
阿奉  a1 feng4   
阿佛洛狄忒  a1 fo2 luo4 di2 tui1   
阿芙乐尔号巡洋舰  a1 fu2 le4 er3 hao4 xun2 yang2 jian4   
阿芙蓉  a1 fu2 rong2   
阿芙蓉膏  a1 fu2 rong2 gao1   
阿辅  a1 fu3   
阿父  a1 fu4   
阿负  a1 fu4   
阿阜  a1 fu4   
阿傅  a1 fu4   
阿伽  a1 ga1   
阿伽门农  a1 ga1 men2 nong2   
阿伽陀药  a1 ga1 tuo2 yao4   
阿干  a1 gan4   
阿缟  a1 gao3   
阿阁  a1 ge2   
阿各绰  a1 ge4 chao1   
阿狗阿猫  a1 gou3 a1 mao1   
阿姑  a1 gu1   
阿姑阿翁  a1 gu1 a1 weng1   
阿姑婆  a1 gu1 po2   
阿古柏  a1 gu3 bai3   
阿谷  a1 gu3   
阿贵  a1 gui4   
阿孩儿  a1 hai2 er2   
阿好  a1 hao3   
阿合  a1 he2   
阿衡  a1 heng2   
阿侯  a1 hou2   
阿呼地狱  a1 hu1 di4 yu4   
阿环  a1 huan2   
阿浑  a1 hun2   
阿基米德螺线  a1 ji1 mi3 de2 luo2 xian4   
阿基米德原理  a1 ji1 mi3 de2 yuan2 li3   
阿吉  a1 ji2   
阿迦炉香  a1 jia1 lu2 xiang1   
阿迦嚧香  a1 jia1 lu2 xiang1   
阿家  a1 jia1   
阿家阿翁  a1 jia1 a1 weng1   
阿监  a1 jian1   
阿囝  a1 jian3   
阿娇  a1 jiao1   
阿娇金屋  a1 jiao1 jin1 wu1   
阿街  a1 jie1   
阿结  a1 jie2   
阿毑  a1 jie3   
阿借  a1 jie4   
阿井  a1 jing3   
阿井胶  a1 jing3 jiao1   
阿舅  a1 jiu4   
阿喀琉斯  a1 ka1 liu2 si1   
阿匼  a1 ke1   
阿匼取容  a1 ke1 qu3 rong2   
阿磕绰  a1 ke1 chao1   
阿可赤  a1 ke3 chi4   
阿可绰  a1 ke3 chao1   
阿克莫拉  a1 ke4 mo4 la1   
阿克苏姆王国  a1 ke4 su1 mu3 wang2 guo2   
阿肯人  a1 ken3 ren2   
阿空加瓜山  a1 kong1 jia1 gua1 shan1   
阿况  a1 kuang4   
阿拉巴图  a1 la1 ba1 tu2   
阿拉伯的劳伦斯  a1 la1 bo2 de5 lao2 lun2 si1   
阿拉伯帝国  a1 la1 bo2 di4 guo2   
阿拉伯非洲  a1 la1 bo2 fei1 zhou1   
阿拉伯国家  a1 la1 bo2 guo2 jia1   
阿拉伯海  a1 la1 bo2 hai3   
阿拉伯河  a1 la1 bo2 he2   
阿拉伯胶  a1 la1 bo2 jiao1   
阿拉伯联合酋长国  a1 la1 bo2 lian2 he2 qiu2 zhang3 guo2   
阿拉伯字母  a1 la1 bo2 zi4 mu3   
阿拉曼战役  a1 la1 man4 zhan4 yi4   
阿拉奇  a1 la1 qi2   
阿拉气  a1 la1 qi4   
阿剌  a1 la2   
阿剌吉  a1 la2 ji2   
阿剌吉酒  a1 la2 ji2 jiu3   
阿剌酒  a1 la2 jiu3   
阿来来  a1 lai2 lai2   
阿赖耶  a1 lai4 ye1   
阿赖耶识  a1 lai4 ye1 shi2   
阿兰  a1 lan2   
阿兰德隆  a1 lan2 de2 long2   
阿兰若  a1 lan2 ruo4   
阿滥  a1 lan4   
阿滥堆  a1 lan4 dui1   
阿郎  a1 lang2   
阿郎杂碎  a1 lang2 za2 sui4   
阿老  a1 lao3   
阿姥  a1 lao3   
阿梨  a1 li2   
阿梨诃咃  a1 li2 he1 tuo1   
阿梨诃陀  a1 li2 he1 tuo2   
阿棃姨  a1 li2 yi2   
阿黎  a1 li2   
阿黎耶识  a1 li2 ye1 shi2   
阿里斯托芬  a1 li3 si1 tuo1 fen1   
阿连  a1 lian2   
阿练  a1 lian4   
阿领  a1 ling3   
阿留申群岛  a1 liu2 shen1 qun2 dao3   
阿龙  a1 long2   
阿搂  a1 lou3   
阿鲁巴岛  a1 lu3 ba1 dao3   
阿罗  a1 luo2   
阿罗汉  a1 luo2 han4   
阿罗汉果  a1 luo2 han4 guo3   
阿罗耶  a1 luo2 ye1   
阿罗耶识  a1 luo2 ye1 shi2   
阿马  a1 ma3   
阿买  a1 mai3   
阿蛮  a1 man2   
阿瞒  a1 man2   
阿莽  a1 mang3   
阿没  a1 mei2   
阿昧  a1 mei4   
阿媚  a1 mei4   
阿门诗  a1 men2 shi1   
阿们  a1 men5   
阿蒙  a1 meng2   
阿弥  a1 mi2   
阿弥巴  a1 mi2 ba1   
阿弥陀  a1 mi2 tuo2   
阿绵花屎  a1 mian2 hua1 shi3   
阿摩敦  a1 mo2 dun1   
阿磨  a1 mo2   
阿謩  a1 mo2   
阿母  a1 mu3   
阿母子  a1 mu3 zi3   
阿姆  a1 mu3   
阿姆哈拉人  a1 mu3 ha1 la1 ren2   
阿姆利则惨案  a1 mu3 li4 ze2 can3 an4   
阿木忽郎  a1 mu4 hu1 lang2   
阿木林  a1 mu4 lin2   
阿那  a1 na4   
阿那波那  a1 na4 bo1 na4   
阿那含  a1 na4 han2   
阿那忽  a1 na4 hu1   
阿那曲  a1 na4 qu3   
阿娜  a1 na4   
阿奶  a1 nai3   
阿妳  a1 ni3   
阿难  a1 nan2   
阿难陀  a1 nan2 tuo2   
阿挠  a1 nao2   
阿尼  a1 ni2   
阿娘  a1 niang2   
阿侬  a1 nong2   
阿侬佳  a1 nong2 jia1   
阿耨  a1 nou4   
阿耨达池  a1 nou4 da2 chi2   
阿耨达山  a1 nou4 da2 shan1   
阿耨多罗  a1 nou4 duo1 luo2   
阿耨多罗三藐三菩提  a1 nou4 duo1 luo2 san1 miao3 san1 pu2 ti2   
阿奴  a1 nu2   
阿傉达山  a1 nu4 da2 shan1   
阿女  a1 nv3   
阿郍  a1 nuo2   
阿旁  a1 pang2   
阿毗达磨  a1 pi2 da2 mo2   
阿毗地狱  a1 pi2 di4 yu4   
阿毗昙  a1 pi2 tan2   
阿偏  a1 pian1   
阿平  a1 ping2   
阿平绝倒  a1 ping2 jue2 dao3   
阿平絶倒  a1 ping2 jue2 dao3   
阿婆面  a1 po2 mian4   
阿扑  a1 pu1   
阿铺  a1 pu1   
阿其那  a1 qi2 na4   
阿其所好  a1 qi2 suo3 hao4   
阿倾  a1 qing1   
阿琼  a1 qiong2   
阿丘  a1 qiu1   
阿曲  a1 qu3   
阿屈  a1 qu1   
阿权膴仕  a1 quan2 wu3 shi4   
阿鹊  a1 que4   
阿鹊盐  a1 que4 yan2   
阿桡  a1 rao2   
阿热  a1 re4   
阿戎  a1 rong2   
阿容  a1 rong2   
阿萨姆人  a1 sa4 mu3 ren2   
阿塞拜疆人  a1 sai4 bai4 jiang1 ren2   
阿散蒂人  a1 san4 di4 ren2   
阿僧祇  a1 seng1 zhi3   
阿僧祇劫  a1 seng1 chi2 jie2   
阿僧秪劫  a1 seng1 zhi1 jie2   
阿上  a1 shang4   
阿奢  a1 she1   
阿社  a1 she4   
阿失  a1 shi1   
阿师  a1 shi1   
阿时  a1 shi2   
阿时趋俗  a1 shi2 qu1 su2   
阿史德  a1 shi3 de2   
阿史那  a1 shi3 na4   
阿士  a1 shi4   
阿世  a1 shi4   
阿世盗名  a1 shi4 dao4 ming2   
阿世媚俗  a1 shi4 mei4 su2   
阿世取容  a1 shi4 qu3 rong2   
阿嗜  a1 shi4   
阿叔  a1 shu1   
阿输迦  a1 shu1 jia1   
阿谁  a1 shui2   
阿顺  a1 shun4   
阿顺取容  a1 shun4 qu3 rong2   
阿私  a1 si1   
阿斯旺  a1 si1 wang4   
阿塔卡马沙漠  a1 ta3 ka3 ma3 sha1 mo4   
阿太  a1 tai4   
阿堂  a1 tang2   
阿忒迷失  a1 tui1 mi2 shi1   
阿特拉斯  a1 te4 la2 si1   
阿特拉斯山脉  a1 te4 la2 si1 shan1 mai4   
阿童  a1 tong2   
阿土古  a1 tu3 gu3   
阿土生  a1 tu3 sheng1   
阿屯  a1 tun2   
阿纨  a1 wan2   
阿婉  a1 wan3   
阿枉  a1 wang3   
阿罔  a1 wang3   
阿癐癐  a1 wei1 wei1   
阿唯  a1 wei2   
阿魏  a1 wei4   
阿翁  a1 weng1   
阿吴  a1 wu2   
阿武  a1 wu3   
阿武婆  a1 wu3 po2   
